id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate
4,Suggest an Italian pasta dish for dinner
5,I want a spicy Thai curry recipe
6,Vegan dessert recipe without refined sugar
7,Gluten-free breakfast ideas for the week
8,What can I make with chicken, rice, and broccoli?
9,Quick lunch for work I can prep ahead
10,Easy dinner for two with minimal cleanup
11,Healthy snack ideas for kids after school
12,Recipe under 30 minutes for a busy weeknight
13,Beginner-friendly baking recipe for cookies
14,Something good to make
15,I need a recipe
16,I only have mushrooms – what can I make?